Annee;Trimestre;Magasin;Nom magasin;Activite;Localisation; Code accord ; Libelle fournisseur;Mode de gestion;Ca;Quantite;                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2023;Avril a Juin             ;1;A;Drive;Corse;X1234;ST MICHEL BISCUITS SURG;PERMANENT;674,119;26;                                                                                                                                                                                                                                                                                                                                                                                                                                               
2023;Avril a Juin             ;1;A;Drive;Corse;X1234;ST MICHEL BISCUITS SURG;NON PERMANENT;654,199;30;                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2023;Avril a Juin             ;2;B;Express;Continent;X1234;ST MICHEL BISCUITS SURG;PERMANENT;25,794;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2023;Avril a Juin             ;3;C;Express;Continent;X1234;ST MICHEL BISCUITS SURG;PERMANENT;660,489;730;                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2023;Avril a Juin             ;6;D;Express;Continent;X1234;ST MICHEL BISCUITS SURG;PERMANENT;950,435;627;                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2023;Avril a Juin             ;7;E;Hyper+Super;Continent;X1234;ST MICHEL BISCUITS SURG;PERMANENT;998;510;                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2023;Avril a Juin             ;7;E;Hyper+Super;Continent;X1234;ST MICHEL BISCUITS SURG;NON PERMANENT;436,132;20;                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2023;Avril a Juin             ;8;F;Hyper+Super;Continent;X1234;ST MICHEL BISCUITS SURG;PERMANENT;277,152;480;                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2023;Avril a Juin             ;18;G;Hyper+Super;Continent;X1234;ST MICHEL BISCUITS SURG;PERMANENT;5241;452;                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2023;Avril a Juin             ;20;H;Hyper+Super;Continent;X1234;ST MICHEL BISCUITS SURG;PERMANENT;134,992;6;                                                                                                                                                                                                                                                                                                                                                                                                                                                
2023;Avril a Juin             ;20;H;Hyper+Super;Continent;X1234;ST MICHEL BISCUITS SURG;NON PERMANENT;87,756;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2023;Avril a Juin             ;21;I;Hyper+Super;Continent;X1234;ST MICHEL BISCUITS SURG;PERMANENT;163,817;248;                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2023;Avril a Juin             ;22;J;Hyper+Super;Continent;X1234;ST MICHEL BISCUITS SURG;PERMANENT;675;574;                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2023;Avril a Juin             ;22;J;Hyper+Super;Continent;X1234;ST MICHEL BISCUITS SURG;NON PERMANENT;34,565;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2023;Avril a Juin             ;24;K;Express;Continent;X1234;ST MICHEL BISCUITS SURG;PERMANENT;94,529;128;                                                                                                                                                                                                                                                                                                                                                                                                                                                
2023;Avril a Juin             ;25;L;Station;Continent;X1234;ST MICHEL BISCUITS SURG;PERMANENT;44,997;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2023;Avril a Juin             ;25;L;Station;Continent;X1234;ST MICHEL BISCUITS SURG;NON PERMANENT;175,511;8;                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2023;Avril a Juin             ;27;M;Station;Continent;X1234;ST MICHEL BISCUITS SURG;NON PERMANENT;139,008;6;                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2023;Avril a Juin             ;33;N;Station;Continent;X1234;ST MICHEL BISCUITS SURG;PERMANENT;693,592;32;                                                                                                                                                                                                                                                                                                                                                                                                                                                  
