Magasin;Nom magasin;Activite;Localisation;Code accord;Libelle fournisseur;Mode de gestion;Article;Libellé article;Ca;Quantite
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;110408;NESTLE LION 1,050KG;60;20
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;120429;NESTLE CHOCAPIC CEREALES 375G;520;173
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;120430;NESTLE CHOCAPIC CEREALES 645G;558;155
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;120431;NESTLE NESQUIK CEREALES 375G;98;65
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;120432;NESTLE NESQUIK CEREALES 675G;68,82;29
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;120433;UC NESTLE CRUNCH CEREALES 375G;70,359;47
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;120434;NESTLE CRUNCH CEREALES 675G;57,35;25
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;120435;NESTLE LION CEREALES 675G;235,696;85
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;130958;KIT KAT CEREALES 330G;65,83;33
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1045806;BARRE FITNESS CHOCOLAT X6;94,364;69
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1045818;CEREALES CHOCAPIC DUO 400G;29,849;19
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1045832;BARRE CEREALES NESQUIK X12;98;41
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1121011;COOKIE CRISP 375G;293,132;167
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1121013;LION 400 GR;701,271;305
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1121022;CHOKELLA 350G;329,011;205
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1121025;GOLDEN GRAHAMS 375 GRS;292,806;205
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1121026;LION 1,3KG;126,751;15
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1121029;CHOCAPIC 430G;80;85
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1121031;CEREALES CHOCAPIC 750G;90;55
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1122686;NAT CROUSTI FOND CHOCO NOISET 3;60;40
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1122687;LION TRIPLE CRUNCHY CEREAL550G;102,64;40
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1162096;CEREALES NESQUIK 750G;87;70
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1162097;CRUNCH 750G;136,55;45
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1192156;BARRES NESQUIK CEREALES LAIT;231,789;147
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1192157;CHOCAPIC BARRES CEREALES LAIT;77,721;51
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1192158;BARRE GOLDEN MINI CEREALES LAIT;51,814;35
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1192171;NESTLE MIX 190G;595,21;327
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1192175;CHOCAPIC 1 KG;628,158;147
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1192179;NESQUIK NESTLE 450G;50;27
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1192180;CRUNCH NESTLE 450G;110,03;57
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1192198;CEREALES LION WILD 600G;156,54;51
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1200360;BARRE LION 6X25G;257,353;163
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1213550;FITNESS CHOCOLAT 450 G;28,526;17
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1264559;CINI MINIS CHURROS 360G;35,924;21
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1404155;LION WILD 360G;33,254;19
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1544547;CEREALES NATURE FITNESS 475G;55;63
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1545495;CEREAL MIX CHOCAPIC 6X30G;165;78
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1545496;CEREAL MIX LION NESTLE 6X40G;66,775;39
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1652050;LION CEREAL 750G;554;35
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1654654;BARRES LION 12X25G;145,011;71
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1788965;BARRES CHOCAPIC 12X25G;108,583;39
1;A;Drive;Continent;15112;CEREALS PARTNERS;PERMANENT;1791232;CEREALES BIO LION;20,747;11
1;A;Drive;Continent;15112;CEREALS PARTNERS;NON PERMANENT;110408;NESTLE LION 1,050KG;600;123
1;A;Drive;Continent;15112;CEREALS PARTNERS;NON PERMANENT;120429;NESTLE CHOCAPIC CEREALES 375G;25,416;17
1;A;Drive;Continent;15112;CEREALS PARTNERS;NON PERMANENT;120430;NESTLE CHOCAPIC CEREALES 645G;58,988;23
1;A;Drive;Continent;15112;CEREALS PARTNERS;NON PERMANENT;120431;NESTLE NESQUIK CEREALES 375G;20,102;15
1;A;Drive;Continent;15112;CEREALS PARTNERS;NON PERMANENT;120432;NESTLE NESQUIK CEREALES 675G;68,82;27
1;A;Drive;Continent;15112;CEREALS PARTNERS;NON PERMANENT;120433;UC NESTLE CRUNCH CEREALES 375G;23,453;17
1;A;Drive;Continent;15112;CEREALS PARTNERS;NON PERMANENT;120434;NESTLE CRUNCH CEREALES 675G;57,35;23
1;A;Drive;Continent;15112;CEREALS PARTNERS;NON PERMANENT;120435;NESTLE LION CEREALES 675G;94,278;35
1;A;Drive;Continent;15112;CEREALS PARTNERS;NON PERMANENT;1045832;BARRE CEREALES NESQUIK X12;150;93
1;A;Drive;Continent;15112;CEREALS PARTNERS;NON PERMANENT;1200752;CEREALES CHEERIOS BIO 375G;130,334;63
1;A;Drive;Continent;15112;CEREALS PARTNERS;NON PERMANENT;1200753;CEREALES CHOCAPIC BIO 375G;102,581;50
1;A;Drive;Continent;15112;CEREALS PARTNERS;NON PERMANENT;1200754;CEREALES NESQUIK BIO 375G;65,75;33
